Anna Kventsel,813,,,0000000333,0000000002,0000000563,Barbara Sutton,,
Anna Malagrida,779,,,0000000004,0000000000,0000000008,Bärbel Dinkelaker,,
Anna Maria Grzymała-Busse,261,,,0000000007,0000000009,0000000001,Barna William Donovan,,
Anna Maria Grzymała-Busse,324,,,0000000007,0000000009,0000000006,Barry Publow,,
Anna O. Law,342,,,0000000008,0000000000,0000000009,Basuli Deb,,
Anna Richardson,613,,,0000000003,0000000003,0000000009,Beat Weber,,
Anna Riehl,942,,,0000000003,0000000004,0000000001,Beate Sissenich,,
Anna Sandiford,363,,,0000000033,0000000006,0000000065,Becky Pettit,,
Anna Shillabeer,362,,,0000000009,0000000004,0000000000,Ben Kite,,
Anna Shillabeer,959,,,0000000003,0000000003,0000000008,Benjamin B. Smith,,
Anna Wilson,362,,,0000000009,0000000001,0000000000,Benjamin Black,,
Anna Wilson,398,,,0000003333,0000004666,0000002245,Benjamin Fleury-Steiner,,
Anna Wilson,428,,,0000000017,000000009,000000001,Benjamin Radford,,
Anna Wilson,508,,,0000000008,0000000003,0000000003,Benjamin Stein,,
Anna Wilson,793,,,0000000006,0000000002,0000000001,Benoit Dufort,,
Anna Wilson,813,,,0000000007,0000000008,0000000001,Bernard MacMahon,,
Anna Wilson,823,,,0000000003,0000000006,0000000002,Bernd Rechel,,
Anna-Sophia Buck,863,,,0000000003,0000000003,0000000002,Bernd Schmid,,
Anne Hardy,709,,,0000000003,0000000004,0000000007,Bernhard Berger,,
Anne Margaret Baxley,179,,,0000000003,0000000000,0000000005,Beth A. Buggenhagen,,
Anne Reff Pedersen,362,,,0000000008,0000000001,0000000003,Beth Andrews,,
Annemarie Meichtry-Gruber,427,,,0000000002,0000000005,000000000,Beth M. Whittaker,,
Annie Nigh Ward,813,,,0000000006,0000000004,0000000006,Bethenny Frankel,,
Annie Ward,813,,,0000000002,0000000000,0000000001,Bettina Koch,,
Annika Sorenstam,796,,,0000000007,0000000004,0000000001,Bill Campbell,,
Anthony Burke,5,,,0000000003,0000000000,0000000002,Bill Reader,,
Anthony D'Andrea,306,,,0000000007,0000000009,0000000001,Bill Van Heerden,,
Anthony J. Langlois,323,,,0000000004,000000000,000000000,Bill Williams,,
Anthony Mortimer,782,,,0000000001,0000000007,0000000009,Bill Wringe,,
Anthony Sang,741,,,0000000009,0000000007,0000000003,Billy J. Stratton,,
Anthony Thomas,364,,,0000000005,0000000007,0000000001,Bin Chen,,
Anthony Varallo,813,,,0000000007,0000000002,0000000000,Blaine Erickson Brownell,,
Antoine Bello,843,,,0000000003,0000000003,0000000008,Blake A. Harrison,,
Antoine Ozanam,741,,,0000000006,0000000000,0000000009,Bob Parks,,
Antoine Savine,332,,,0000000001,0000000009,0000000002,Bob Plant,,
Antonio Viego,371,,,0000000007,0000000004,0000000005,Bob Richter,,
Antony Bateman,302,,,0000000003,0000000003,0000000008,Bonnie Adrian,,
Antony Wood,697,,,0000000007,0000000000,0000000009,Bonnie Camplin,,
Antony Wood,720,,,0000000088,0000000011,0000000003,Bonnie Roos,,
Aparna Jain,920,,,0000000003,0000000003,0000000008,Boris Holzer,,
Ara Norenzayan,200,,,0000000007,0000000000,0000000000,Bosco Sodi,,
Arezou Azad,958,,,0000000001,0000000009,0000000004,Boyd Blundell,,
Ariane Neuber,636,,,0000000002,0000000002,0000000003,Brad Andrew Pribbenow,,
Arianna Betti,111,,,0000000008,0000000008,0000000002,Brad Levett,,
Ariel Gore,133,,,0000000009,0000000007,0000000005,Bradford J. Wood,,
Ariel Gore,305,,,0000000088,0000000022,0000000002,Bradley Buchanan,,
Ariel Gore,813,,,0000000009,0000000004,0000000000,Brandon Palmer,,
Aristotle A. Kallis,320,,,0000000009,0000000003,0000000002,Branko F. van Oppen de Ruiter,,
Aristotle A. Kallis,940,,,0000000006,0000000005,0000000007,Brannon Poe,,
Aristotle A. Kallis,945,,,0000000008,0000000002,0000000001,Brendan McCormack,,
Arndt Weber,809,,,0000000006,000000000,000000000,Brendan Tierney,,
Arno Scharl,5,,,0000000003,0000000000,0000000006,Brent Alan Shannon,,
Aron Gottesman,332,,,0000000009,0000000005,0000000001,Brent Byron Watson,,
Arthur C. Petersen,551,,,0000000003,0000000002,0000000000,Brenton Prosser,,
Arthur Sullivan,121,,,0000000008,0000000001,0000000003,Bret Baumgarten,,
Artur S. D'Avila Garcez,6,,,0000000003,0000000002,0000000007,Brian Angus McKenzie,,
Aryeh Tepper,181,,,0000000007,0000000007,0000000001,Brian Arnold,,
Ashley Stokes,823,,,0000000002,0000000005,0000000004,Brian Bailey,,
Asnake Kefale,320,,,0000000036,0000000065,0000000048,Brian Bell,,
Astrid A. Billat,863,,,0000000002,0000000009,0000000004,Brian Black,,
Atanu Biswas,615,,,0000000002,0000000004,0000000001,Brian Brock,,
Atka Reid,949,,,0000000003,0000000004,0000000000,Brian Burge-Hendrix,,
Audra Morrice,641,,,0000000007,0000000008,0000000002,Brian Coleman,,
Audrey Tait,362,,,0000000005,0000000001,0000000002,Brian Conrad,,
Augusto Chiarle,823,,,0000000005,0000000001,0000000002,Brian David Conrad,,
Austin Allen,342,,,0000067799,0000013814,0000068641,Brian Dolan,,
Austin Harrington,300,,,0000000008,0000000002,0000000001,Brian Donnelly,,
Austin Harrington,301,,,0000000009,0000000007,0000000003,Brian Douglas Steele,,
Austin Harrington,306,,,0000000039,0000000024,0000000000,Brian E. Vick,,
Avik Ghosh,621,,,0000000007,0000000002,0000000000,Brian M. Ambroziak,,
Aviva Drescher,791,,,0000000007,0000000009,0000000006,Brian McTaggart,,
Avril Alba,940,,,0000000037,0000000074,0000000091,Brian Platt,,
